;Zeitstempel;Wie alt sind Sie?;In welchem Gebiet leben Sie aktuell (in etwa)?;Aus welchem Gebiet stammen Sie (in etwa)?;acheln;Aschpes;baldowern;beganneft;Boker;dibbern / diwwern;Goi;kapores;lau;lugen / louen ;malochen;Reibach / Rebbes;schaskeln;Schawwes;schicker / beschickert;Schmu;Schores;Stuss;Toches / Dokes;tof;weisen ;Zores;Woher kennen Sie die Wörter? (Mehrfachnennung möglich);Wussten Sie, dass diese Wörter aus dem Jiddischen stammen?
Saarlouis;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Saarlouis;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2020/09/07 9:18:18 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;0;0;0;0;0;0;4;Lou mol lo do leid a Schau mal;2;3;0;0;0;0;1;2;0;0;Den Weg weisen;0;"3;1";bei keinen
;2020/09/07 9:24:19 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;0;0;0;0;0;0;0;Schauen ;0;0;0;0;0;0;0;0;0;0;;5 ;1;bei keinen
;2020/09/07 9:27:26 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;0;0;0;1 ;0;0;0;Schauen ;2;18;0;0;3;0;0;2;0;0;Zeigen;5 ;"3;1;2";bei keinen
;2020/09/07 9:59:40 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;3;0;0;0;0;0;2;Schauen;2;0;0;0;0;2;0;2;0;0;Zeigen;3;1;bei keinen
;2020/09/07 10:04:21 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;0;0;0;0;0;0;0;;2;0;0;0;2;0;0;2 ;0;0;Jemanden etwas zeigen ;5 ;"3;1";bei keinen
;2020/09/07 10:49:25 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;0;0;0;0;0;0;2;schauen;2;0;0;0;0;0;0;2;0;0;zeigen;11;"3;1";bei keinen
;2020/09/07 10:58:12 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;1 ;0;0;1 ;0;0;0;1 ;1 ;0;0;0;0;0;0;1 ;0;0;1 ;1 ;1;bei keinen
;2020/09/08 2:35:26 AM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;0;0;0;0;0;0;0;Schauen , gucken ;2;0;0;0;2;0;0;2;0;0;Zeigen;6;1;bei keinen
;2020/09/08 5:10:23 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;;1;"1;2";bei keinen
;2020/09/09 3:34:24 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;;1;2;bei keinen
;2020/09/09 3:37:02 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;;0;2;bei keinen
;2020/09/09 3:38:13 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;0;0;0;0;0;0;2;;2;0;0;0;0;1;0;2;0;0;zeigen;1;"3;1;2";bei keinen
;2020/09/09 3:39:28 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;4;0;0;0;0;1;2, 16;;1;0;1;0;0;0;1;2;0;0;;6;1;bei keinen
;2020/09/09 7:12:16 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;0;0;0;0;0;0;0;;1 ;1;0;0;0;0;0;1;0;0;;0;1;bei keinen
;2020/09/09 7:31:42 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;0;0;0;0;0;0;2;;1;0;0;0;0;0;0;2;0;0;;11;3;bei keinen
;2020/09/09 7:44:50 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1;1;0;1;0;0;1;1;"3;1;2";bei keinen
;2020/09/09 10:29:19 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;2;0;0;0;0;0;2;Schauen;2;17;0;0;0;2;0;2;0;0;Zeigen;3;"3;1;2";bei keinen
;2020/09/07 10:19:03 AM OEZ;30 - 50 Jahre;Saarlouis;Saarlouis;0;0;1;0;0;0;0;0;6;Schauen;2;2;0;0;2;6;0;2;0;0;Zeigen;1;3;bei keinen
;2020/09/07 10:35:16 AM OEZ;30 - 50 Jahre;Saarlouis;Saarlouis;0;0;0;0;0;2;0;0;3;;1;0;0;0;0;6;0;1;0;0;;3;"3;1";bei keinen
;2020/09/07 11:52:39 AM OEZ;30 - 50 Jahre;Saarlouis;Saarlouis;0;0;0;0;0;0;0;0;0;Schauen;2;1;0;0; 2;1;0;1;0;0;;1;"1;2";bei keinen
